DNA_ID,field_ID,genotype,group,row,end?,condition,germ,yellow,flowering,final,diameter,direction,height,leaf_num,ax_heads,notes
D313,SUN_B_21,WT,B,SUN_B,middle,sun,06_15_2019,08_03_2019,08_05_2019,08_13_2019,18,171,79.7,30,4,NA
D314,SUN_B_22,WT,B,SUN_B,middle,sun,06_15_2019,08_03_2019,08_05_2019,08_12_2019,18.9,34,83,32,4,NA
D315,SUN_B_23,WT,B,SUN_B,middle,sun,06_15_2019,08_06_2019,08_08_2019,08_15_2019,16.9,145,82.4,31,6,NA
D316,SUN_B_24,WT,B,SUN_B,middle,sun,06_15_2019,08_06_2019,08_08_2019,08_15_2019,18.5,190,81,34,6,NA
D317,SUN_B_25,WT,B,SUN_B,middle,sun,06_15_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D318,SUN_B_26,WT,B,SUN_B,middle,sun,06_15_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D319,SUN_B_28,WT,B,SUN_B,end,sun,06_15_2019,08_04_2019,08_06_2019,08_14_2019,21,UP,81.3,34,5,NA
D320,SUN_B_27,WT,B,SUN_B,end,sun,06_15_2019,08_05_2019,08_08_2019,08_15_2019,17.9,33,84.4,35,9,NA
D321,SH_C_01,elf3,C,SH_C,end,shade,06_21_2019,08_16_2019,08_17_2019,08_24_2019,21.5,118,99.3,39,2,NA
D322,SH_C_02,elf3,C,SH_C,end,shade,06_21_2019,08_15_2019,08_17_2019,08_24_2019,16.8,UP,115.1,36,2,NA
D323,SH_C_03,elf3,C,SH_C,middle,shade,06_21_2019,08_15_2019,08_17_2019,08_24_2019,19.7,65,114.5,41,5,NA
D324,SH_C_04,elf3,C,SH_C,middle,shade,06_21_2019,08_17_2019,08_20_2019,08_25_2019,16.8,33,121.2,37,2,NA
D325,SH_C_09,elf3,C,SH_C,middle,shade,06_21_2019,08_14_2019,08_15_2019,08_23_2019,15.4,11,105.7,32,7,NA
D326,SH_C_10,elf3,C,SH_C,middle,shade,06_21_2019,08_15_2019,08_17_2019,08_24_2019,18.5,102,113.2,38,5,NA
D327,SH_C_11,elf3,C,SH_C,middle,shade,06_21_2019,08_15_2019,08_17_2019,08_23_2019,16.7,64,112.3,38,2,NA
